Year(s) of Live Birth,Patient County,Demographic Characteristics,Sort Order,Demographic Strata,"Live Births
(N)","Live Births
(%)",Any Sepsis Events Peripartum (N),"Any Sepsis Events Peripartum (per 100,000)",Severe Sepsis/Septic Shock Peripartum (N),"Severe Sepsis/Septic Shock Peripartum(per 100,000)",Any Sepsis Events During Pregnancy (N),"Any Sepsis Events During Pregnancy (per 100,000)",Severe Sepsis/ Septic Shock During Pregnancy (N),"Severe Sepsis/ Septic Shock During Pregnancy
(per 100,000)",Any Sepsis Events During Delivery (N),"Any Sepsis Events During Delivery (per 100,000)",Severe Sepsis/ Septic Shock During Delivery (N),"Severe Sepsis/ Septic Shock During Delivery
(per 100,000)",Any Sepsis Events During Post-Partum (N),"Any Sepsis Events During Post-Partum (per 100,000)",Severe Sepsis/ Septic Shock During Post-Partum (N),"Severe Sepsis/ Septic Shock During Post-Partum
(per 100,000)"
2016-2018,Statewide,Age Group,1,<20,"35,999",5.62,205,569.46,58,161.12,84,233.34,35,97.22,59,163.89,9,25,64,177.78,14,38.89
2016-2018,Statewide,Age Group,2,20-35,"488,179",76.28,1401,286.98,251,51.42,392,80.3,78,15.98,481,98.53,97,19.87,548,112.25,81,16.59
2016-2018,Statewide,Age Group,3,>35,"115,845",18.1,328,283.14,66,56.97,55,47.48,12,10.36,130,112.22,28,24.17,146,126.03,26,22.44
2016-2018,Statewide,Education,1,Less than high school,"93,199",14.56,400,429.19,87,93.35,138,148.07,40,42.92,120,128.76,23,24.68,145,155.58,24,25.75
2016-2018,Statewide,Education,2,High school graduate or GED,"141,421",22.1,520,367.7,94,66.47,155,109.6,35,24.75,156,110.31,29,20.51,213,150.61,30,21.21
2016-2018,Statewide,Education,3,Some College,"99,452",15.54,313,314.72,53,53.29,83,83.46,14,14.08,105,105.58,18,18.1,130,130.72,22,22.12
2016-2018,Statewide,Education,4,AA Degree,"49,715",7.77,162,325.86,41,82.47,37,74.42,8,16.09,66,132.76,22,44.25,62,124.71,12,24.14
2016-2018,Statewide,Education,5,BA degree or higher,"233,015",36.41,463,198.7,80,34.33,98,42.06,25,10.73,168,72.1,25,10.73,204,87.55,32,13.73
2016-2018,Statewide,Education,6,Unknown,"2,340",0.37,16,683.76,5,213.68,3,128.21,0,0,12,512.82,5,213.68,3,128.21,1,42.74
2016-2018,Statewide,Race/Ethnicity,1,"White, Non-Hispanic","312,583",48.84,667,213.38,117,37.43,190,60.78,39,12.48,201,64.3,46,14.72,284,90.86,34,10.88
2016-2018,Statewide,Race/Ethnicity,2,"Black, Non-Hispanic","96,078",15.01,360,374.7,65,67.65,95,98.88,20,20.82,146,151.96,26,27.06,124,129.06,20,20.82
2016-2018,Statewide,Race/Ethnicity,3,Hispanic,"142,099",22.2,642,451.8,138,97.12,197,138.64,58,40.82,218,153.41,39,27.45,237,166.79,43,30.26
2016-2018,Statewide,Race/Ethnicity,4,"Native American/Alaska Native, Non-Hispanic","1,733",0.27,4,230.81,0,0,2,115.41,0,0,1,57.7,0,0,1,57.7,0,0
2016-2018,Statewide,Race/Ethnicity,5,"Asian/Pacific Islander, Non-Hispanic","76,157",11.9,221,290.19,45,59.09,35,45.96,7,9.19,85,111.61,16,21.01,102,133.93,22,28.89
2016-2018,Statewide,Race/Ethnicity,6,"Other, Non-Hispanic","7,870",1.23,31,393.9,7,88.95,10,127.06,1,12.71,15,190.6,5,63.53,7,88.95,1,12.71
2016-2018,Statewide,Race/Ethnicity,7,"Multi-Racial, Non-Hispanic","3,503",0.55,9,256.92,3,85.64,2,57.09,0,0,4,114.19,2,57.09,3,85.64,1,28.55
2016-2018,Statewide,Total,1,Total,"640,023",100,1934,302.18,375,58.59,531,82.97,125,19.53,670,104.68,134,20.94,758,118.43,121,18.91
2016-2018,Albany,Age Group,1,<20,481,5.69,1,207.9,0,0,0,0,0,0,0,0,0,0,1,207.9,0,0
2016-2018,Albany,Age Group,2,20-35,"6,666",78.88,12,180.02,2,30,3,45,0,0,2,30,0,0,7,105.01,2,30
2016-2018,Albany,Age Group,3,>35,"1,304",15.43,1,76.69,0,0,0,0,0,0,0,0,0,0,1,76.69,0,0
2016-2018,Albany,Education,1,Less than high school,877,10.38,1,114.03,0,0,0,0,0,0,0,0,0,0,1,114.03,0,0
2016-2018,Albany,Education,2,High school graduate or GED,"1,542",18.25,6,389.11,1,64.85,2,129.7,0,0,1,64.85,0,0,3,194.55,1,64.85
2016-2018,Albany,Education,3,Some College,"1,273",15.06,4,314.22,0,0,1,78.55,0,0,0,0,0,0,3,235.66,0,0
2016-2018,Albany,Education,4,AA Degree,816,9.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Albany,Education,5,BA degree or higher,"3,707",43.86,2,53.95,1,26.98,0,0,0,0,0,0,0,0,2,53.95,1,26.98
2016-2018,Albany,Education,6,Unknown,87,1.03,1,1149.43,0,0,0,0,0,0,1,1149.43,0,0,0,0,0,0
2016-2018,Albany,Race/Ethnicity,1,"White, Non-Hispanic","5,119",60.57,5,97.68,1,19.54,1,19.54,0,0,0,0,0,0,4,78.14,1,19.54
2016-2018,Albany,Race/Ethnicity,2,"Black, Non-Hispanic","1,752",20.73,7,399.54,0,0,2,114.16,0,0,2,114.16,0,0,3,171.23,0,0
2016-2018,Albany,Race/Ethnicity,3,Hispanic,469,5.55,1,213.22,0,0,0,0,0,0,0,0,0,0,1,213.22,0,0
2016-2018,Albany,Race/Ethnicity,4,"Native American/Alaska Native, Non-Hispanic",8,0.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Albany,Race/Ethnicity,5,"Asian/Pacific Islander, Non-Hispanic",968,11.45,1,103.31,1,103.31,0,0,0,0,0,0,0,0,1,103.31,1,103.31
2016-2018,Albany,Race/Ethnicity,6,"Other, Non-Hispanic",135,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Albany,Total,1,Total,"8,451",100,14,165.66,2,23.67,3,35.5,0,0,2,23.67,0,0,9,106.5,2,23.67
2016-2018,Allegany,Age Group,1,<20,112,9.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Allegany,Age Group,2,20-35,978,82.46,2,204.5,0,0,0,0,0,0,0,0,0,0,2,204.5,0,0
2016-2018,Allegany,Age Group,3,>35,96,8.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Allegany,Education,1,Less than high school,137,11.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Allegany,Education,2,High school graduate or GED,350,29.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Allegany,Education,3,Some College,228,19.22,2,877.19,0,0,0,0,0,0,0,0,0,0,2,877.19,0,0
2016-2018,Allegany,Education,4,AA Degree,162,13.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Allegany,Education,5,BA degree or higher,257,21.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Allegany,Education,6,Unknown,1,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Allegany,Race/Ethnicity,1,"White, Non-Hispanic","1,151",97.05,2,173.76,0,0,0,0,0,0,0,0,0,0,2,173.76,0,0
2016-2018,Allegany,Race/Ethnicity,2,"Black, Non-Hispanic",4,0.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Allegany,Race/Ethnicity,3,Hispanic,13,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Allegany,Race/Ethnicity,4,"Native American/Alaska Native, Non-Hispanic",2,0.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
